User: Vannucci

00 Run_Number: 01

01 Start Gate Voltage: 0
02 Step Gate Voltage: 0.1
03 End Gate Voltage: 30
04 Double Linear (y/n): n
05 Turn off Keithley (y/n): n

06 CurrBias Lock-in Sens: 1e-3
07 Current Bias Resistor: 1.009e9
08 Lock-in Output Voltage: 1
09 Additional Lock-in Volt Gain: 1

10 User: Vannucci
11 Save Name: S-SiA0036-V_A2
12 TimeStamp (y/n): y
13 Comments: 

Using Janis System

40V on Lead Gates J11, J21 

Sweeping Gate on J24

Current In = J17
Current Out = J8-GND
Voltage + = J23
Voltage - = J16

Collected Data
Time, Gate Voltage, Gate Current, Device Voltage, Device Current, Device Conductane, Device Resistance
s, V, A, V, A, S, Ohms
0.418999910355,-1.4927e-06,-1.256827e-11,-0.000287487201,9.91080277502e-10,-3.44738921961e-06,-290074.585809
1.02800011635,0.09998355,-6.653284e-11,-0.000379964103,9.91080277502e-10,-2.6083523935e-06,-383383.779927
1.90700006485,0.1999856,-5.754573e-11,-0.000302786103,9.91080277502e-10,-3.27320265918e-06,-305511.177927
2.47500014305,0.2999742,-7.834944e-11,-0.00018839351,9.91080277502e-10,-5.26069224732e-06,-190089.05159
3.35400009155,0.3999635,-5.623278e-11,-0.000258479636,9.91080277502e-10,-3.83426831158e-06,-260805.952724
4.26999998093,0.4999605,-4.617853e-11,-0.000272381734,9.91080277502e-10,-3.63857099721e-06,-274833.169606
5.16799998283,0.5999895,-3.709315e-11,-0.000288793127,9.91080277502e-10,-3.43180008402e-06,-291392.265143
6.04699993134,0.6999833,-3.999291e-11,-0.000279605191,9.91080277502e-10,-3.54457037782e-06,-282121.637719
6.96499991417,0.7999693,-4.151646e-11,-0.000278499935,9.91080277502e-10,-3.55863737456e-06,-281006.434415
7.86400008202,0.8999619,-4.78846e-11,-0.000275835796,9.91080277502e-10,-3.59300820225e-06,-278318.318164
8.742000103,0.9999558,-4.211332e-11,-0.000287309668,9.91080277502e-10,-3.44951941367e-06,-289895.455012
9.6210000515,1.099943,-4.195173e-11,-0.000283143046,9.91080277502e-10,-3.50028118827e-06,-285691.333414
10.5069999695,1.199967,-3.307003e-11,-0.000289119137,9.91080277502e-10,-3.42793039501e-06,-291721.209233
11.4019999504,1.299962,-3.471294e-11,-0.000287118973,9.91080277502e-10,-3.45181047127e-06,-289703.043757
12.2810001373,1.399951,-4.461972e-11,-0.000271946671,9.91080277502e-10,-3.64439201943e-06,-274394.191039
13.1949999332,1.49994,-5.124071e-11,-0.00027010462,9.91080277502e-10,-3.6692459296e-06,-272535.56158
14.0910000801,1.599933,-3.640502e-11,-0.000277073748,9.91080277502e-10,-3.57695481675e-06,-279567.411732
14.9700000286,1.69993,-3.682631e-11,-0.000283273253,9.91080277502e-10,-3.49867227847e-06,-285822.712277
15.8870000839,1.799917,-3.581525e-11,-0.000285193255,9.91080277502e-10,-3.47511822291e-06,-287759.994295
16.7850000858,1.899935,-2.868176e-11,-0.0002901694,9.91080277502e-10,-3.41552306171e-06,-292780.9246
17.6640000343,1.999936,-3.712824e-11,-0.000281191351,9.91080277502e-10,-3.52457596572e-06,-283722.073159
18.5810000896,2.099928,-3.999284e-11,-0.00027543156,9.91080277502e-10,-3.59828146601e-06,-277910.44404
19.7279999256,2.199816,-4.752572e-11,-0.000309988405,9.91080277502e-10,-3.19715273706e-06,-312778.300645
20.7290000916,2.300189,-4.665609e-11,-0.000274095636,9.91080277502e-10,-3.61581925187e-06,-276562.496724
21.6080000401,2.400404,-5.541855e-11,-0.000290138698,9.91080277502e-10,-3.41588448674e-06,-292749.946282
22.4869999886,2.500221,-5.303136e-11,-0.000254538373,9.91080277502e-10,-3.89363798402e-06,-256829.218357
23.9470000267,2.599862,-1.837377e-11,-0.000220251734,9.91080277502e-10,-4.49976152062e-06,-222233.999606
25.4270000458,2.699718,-1.585261e-11,-0.000347493255,9.91080277502e-10,-2.85208493472e-06,-350620.694295
26.4290001392,2.800056,-4.525193e-11,-0.000315432759,9.91080277502e-10,-3.14197003711e-06,-318271.653831
27.3069999218,2.900309,-5.157798e-11,-0.000266677516,9.91080277502e-10,-3.71639983891e-06,-269077.613644
28.1860001087,3.000102,-5.388796e-11,-0.000225725167,9.91080277502e-10,-4.39065032346e-06,-227756.693503
29.6449999809,3.099797,-2.560739e-11,-0.000370688055,9.91080277502e-10,-2.67362345275e-06,-374024.247495
30.6449999809,3.200212,-2.847133e-11,-0.000243366059,9.91080277502e-10,-4.07238495612e-06,-245556.353531
32.1210000515,3.299865,-5.093549e-12,-8.48267934e-05,9.91080277502e-10,-1.16835758818e-05,-85590.2345406
33.6070001125,3.399679,-4.489565e-12,-0.000422870141,9.91080277502e-10,-2.34369888391e-06,-426675.972269
35.4260001183,3.499866,-1.458148e-11,-0.000163112078,9.91080277502e-10,-6.07606922586e-06,-164580.086702
36.4279999733,3.600314,-3.861692e-11,-0.000315498954,9.91080277502e-10,-3.14131081874e-06,-318338.444586
37.3059999943,3.700152,-4.606647e-11,-0.000303983895,9.91080277502e-10,-3.26030521289e-06,-306719.750055
38.1849999428,3.800328,-3.589981e-11,-0.000215881376,9.91080277502e-10,-4.59085584809e-06,-217824.308384
39.0799999237,3.900165,-5.086888e-11,-0.000209827172,9.91080277502e-10,-4.72331713789e-06,-211715.616548
39.9600000381,4.000396,-4.205029e-11,-0.000268372259,9.91080277502e-10,-3.69293115911e-06,-270787.609331
40.8740000725,4.100286,-3.374425e-11,-0.000260690778,9.91080277502e-10,-3.80174659459e-06,-263036.995002
41.7699999809,4.200428,-3.052154e-11,-0.000240953596,9.91080277502e-10,-4.11315827593e-06,-243122.178364
42.6480000019,4.300385,-2.657567e-11,-0.000295757381,9.91080277502e-10,-3.35099084984e-06,-298419.197429
43.5659999847,4.400564,-4.834142e-11,-0.000311588449,9.91080277502e-10,-3.18073497488e-06,-314392.745041
44.4579999447,4.500382,-4.165019e-11,-0.000231092384,9.91080277502e-10,-4.28867563849e-06,-233172.215456
45.3370001316,4.600341,-3.42428e-11,-0.000242681749,9.91080277502e-10,-4.08386820017e-06,-244865.884741
46.7960000038,4.69978,-1.163189e-11,-0.000193236311,9.91080277502e-10,-5.12885115832e-06,-194975.437799
47.7969999313,4.800277,-3.743741e-11,-0.000287557872,9.91080277502e-10,-3.44654197991e-06,-290145.892848
49.256000042,4.89983,-1.162486e-11,-0.000429734882,9.91080277502e-10,-2.30625978717e-06,-433602.495938
50.7369999886,4.999712,-1.466577e-11,-0.000337361387,9.91080277502e-10,-2.9377407009e-06,-340397.639483
51.7379999161,5.100611,-3.35337e-11,-0.00023702271,9.91080277502e-10,-4.18137265202e-06,-239155.91439
53.1979999542,5.199722,-1.254487e-11,-0.00019767417,9.91080277502e-10,-5.01370653284e-06,-199453.23753
54.1990001202,5.300598,-3.76762e-11,-0.00028486399,9.91080277502e-10,-3.47913499878e-06,-287427.76591
55.0780000687,5.400567,-4.508358e-11,-0.000285820634,9.91080277502e-10,-3.46749030548e-06,-288393.019706
55.9570000172,5.500363,-4.003532e-11,-0.000261583167,9.91080277502e-10,-3.78877696477e-06,-263937.415503
57.4149999619,5.599811,-1.751709e-11,-0.000336679633,9.91080277502e-10,-2.94368943162e-06,-339709.749697
58.4160001278,5.700512,-2.680737e-11,-0.000269822232,9.91080277502e-10,-3.67308605431e-06,-272250.632088
59.3180000782,5.800674,-3.061996e-11,-0.000270915324,9.91080277502e-10,-3.65826584805e-06,-273353.561916
60.1960000992,5.900486,-3.25929e-11,-0.000286753348,9.91080277502e-10,-3.45621170394e-06,-289334.128132
61.6549999714,5.999838,-7.22857e-12,-0.000364722555,9.91080277502e-10,-2.71735395554e-06,-368005.057995
62.6549999714,6.100601,-2.863996e-11,-0.000329316667,9.91080277502e-10,-3.0095053692e-06,-332280.517003
64.1150000095,6.199941,-1.451832e-11,-0.000343915664,9.91080277502e-10,-2.88175381713e-06,-347010.904976
65.1150000095,6.300648,-2.9974e-11,-0.000330415008,9.91080277502e-10,-2.99950139523e-06,-333388.743072
66.5740001202,6.399602,-1.001664e-11,-0.000388913555,9.91080277502e-10,-2.54833050883e-06,-392413.776995
68.0550000668,6.499808,-1.88655e-11,-0.00026258562,9.91080277502e-10,-3.77431284128e-06,-264948.89058
69.0559999943,6.600496,-2.355662e-11,-0.000325063099,9.91080277502e-10,-3.0488858334e-06,-327988.666891
70.5150001049,6.699786,-6.308544e-12,-0.000352566236,9.91080277502e-10,-2.81104704962e-06,-355739.332124
71.9960000515,6.799689,-9.932395e-12,-0.000462151872,9.91080277502e-10,-2.14449045335e-06,-466311.238848
72.9979999065,6.900723,-3.014954e-11,-0.000500841374,9.91080277502e-10,-1.97883068163e-06,-505348.946366
74.4570000172,6.999726,-7.130253e-12,-0.000535964073,9.91080277502e-10,-1.84915431356e-06,-540787.749657
75.4570000172,7.100434,-2.846449e-11,-0.000521319815,9.91080277502e-10,-1.90109842171e-06,-526011.693335
76.9160001278,7.199696,-4.995301e-12,-0.00055982295,9.91080277502e-10,-1.77034592366e-06,-564861.35655
78.3980000019,7.299547,-2.364813e-11,-0.000573219435,9.91080277502e-10,-1.72897186834e-06,-578378.409915
79.3980000019,7.400718,-2.616154e-11,-0.000584659748,9.91080277502e-10,-1.69514026046e-06,-589921.685732
80.8570001125,7.499642,3.804419e-12,-0.000493176604,9.91080277502e-10,-2.00958494272e-06,-497615.193436
81.8580000401,7.600703,-3.63212e-11,-0.000635409515,9.91080277502e-10,-1.55975045086e-06,-641128.200635
83.3169999123,7.699659,-2.511592e-11,-0.000653661753,9.91080277502e-10,-1.5161974415e-06,-659544.708777
84.7980000973,7.799819,-3.291136e-11,-0.000525349627,9.91080277502e-10,-1.88651562039e-06,-530077.773643
85.7990000248,7.900548,-2.32618e-11,-0.000500554712,9.91080277502e-10,-1.9799639355e-06,-505059.704408
87.2569999695,7.999519,7.568688e-12,-0.000342651171,9.91080277502e-10,-2.89238841534e-06,-345735.031539
88.2590000629,8.100485,-3.961421e-11,-0.000427957406,9.91080277502e-10,-2.31583859423e-06,-431809.022654
89.7170000076,8.19963,-2.213826e-11,-0.000356136646,9.91080277502e-10,-2.78286519692e-06,-359341.875814
91.1990001202,8.29979,-1.420652e-12,-0.000243005977,9.91080277502e-10,-4.07841934482e-06,-245193.030793
92.1990001202,8.400309,-3.622293e-11,-0.000178237814,9.91080277502e-10,-5.56043779522e-06,-179841.954326
93.6749999523,8.499739,-1.051534e-11,-9.29442588e-05,9.91080277502e-10,-1.06631683366e-05,-93780.7571292
94.6770000458,8.600443,-4.824328e-11,-3.43898531e-05,9.91080277502e-10,-2.8818973859e-05,-34699.3617779
96.135999918,8.699861,-2.629584e-11,4.93767525e-05,9.91080277502e-10,2.00717995276e-05,49821.1432725
97.620000124,8.799688,-1.259411e-11,0.000140897616,9.91080277502e-10,7.0340457535e-06,142165.694544
99.1010000706,8.899529,-2.16537e-11,0.000201056028,9.91080277502e-10,4.92937360477e-06,202865.532252
100.101999998,9.000507,-2.895604e-11,0.000212891705,9.91080277502e-10,4.65532594378e-06,214807.730345
100.980999947,9.100458,-4.894542e-11,0.000254168652,9.91080277502e-10,3.89930178133e-06,256456.169868
101.860000134,9.20054,-2.798709e-11,0.000298177195,9.91080277502e-10,3.32379636713e-06,300860.789755
103.318000078,9.299634,-9.300387e-12,0.000292966336,9.91080277502e-10,3.38291522171e-06,295603.033024
104.319999933,9.400573,-2.375331e-11,0.000330900494,9.91080277502e-10,2.99510062836e-06,333878.598446
105.778000116,9.499574,-3.211506e-12,0.000369351677,9.91080277502e-10,2.68329708302e-06,372675.842093
106.779999971,9.600489,-2.981962e-11,0.000325324723,9.91080277502e-10,3.04643393949e-06,328252.645507
108.237999916,9.699646,-7.776411e-12,0.000317112216,9.91080277502e-10,3.12532985958e-06,319966.225944
109.239000082,9.80028,-2.072718e-11,0.000329528791,9.91080277502e-10,3.0075680929e-06,332494.550119
